symbol,signal_date,direction,entry,stop,exit,raw_profit,stop_breached,triggered_at,bars_available,extreme_gap_count,first_gap_pct
PATANJALI,2022-04-07T00:00:00,SHORT,272.5666809082031,280.74368133544925,387.4333190917969,-42.14258243188547,2022-04-08T00:00:00,NO,200,0,0.0
PAYTM,2022-11-29T00:00:00,SHORT,461.5,475.345,885.1500244140625,-91.7984884970883,2022-11-30T00:00:00,NO,200,0,0.0
PNB,2020-11-24T00:00:00,SHORT,30.399999618530273,31.311999607086182,41.79999923706055,-37.499999215728344,2020-11-25T00:00:00,NO,200,0,0.0
PNB,2020-12-24T00:00:00,SHORT,31.450000762939453,32.39350078582764,46.0,-46.26390742160555,2020-12-28T00:00:00,NO,200,0,0.0
PNB,2021-10-27T00:00:00,LONG,46.29999923706055,44.91099925994873,34.45000076293945,-25.593949609908062,2021-10-28T00:00:00,NO,200,0,0.0
PNB,2022-09-29T00:00:00,SHORT,34.900001525878906,35.94700157165527,62.599998474121094,-79.36961529271625,2022-09-30T00:00:00,NO,200,0,0.0
PNB,2024-06-04T00:00:00,LONG,137.0,132.89,91.30000305175781,-33.3576620060162,2024-06-05T00:00:00,NO,200,0,0.0
PNB,2024-08-02T00:00:00,LONG,122.94999694824219,119.26149703979492,100.37999725341797,-18.35705592113632,2024-08-06T00:00:00,NO,200,0,0.0
PNB,2024-09-06T00:00:00,LONG,113.4000015258789,109.99800148010253,106.25,-6.3051158991803105,2024-09-09T00:00:00,NO,200,0,0.0
POLYCAB,2024-01-12T00:00:00,SHORT,3878.449951171875,3994.803449707031,6632.5498046875,-71.01032340725378,2024-01-15T00:00:00,NO,200,0,0.0
POWERGRID,2020-10-20T00:00:00,SHORT,88.42501831054688,91.07776885986328,129.4499969482422,-46.395216446115306,2020-10-21T00:00:00,NO,200,0,0.0
POWERGRID,2020-10-30T00:00:00,SHORT,96.1875228881836,99.0731485748291,131.7375030517578,-36.959034910276756,2020-11-03T00:00:00,NO,200,0,0.0
POWERGRID,2020-11-02T00:00:00,SHORT,97.34065246582031,100.26087203979492,132.4499969482422,-36.06853210147732,2020-11-03T00:00:00,NO,200,0,0.0
POWERGRID,2022-09-26T00:00:00,SHORT,150.6374969482422,155.15662185668947,180.8625030517578,-20.064729377374537,2022-09-27T00:00:00,NO,200,0,0.0
POWERGRID,2024-09-27T00:00:00,LONG,365.45001220703125,354.4865118408203,296.6000061035156,-18.839787605345975,2024-09-30T00:00:00,NO,200,0,0.0
POWERGRID,2025-03-05T00:00:00,SHORT,254.0,261.62,268.04998779296875,-5.531491257074311,2025-03-06T00:00:00,NO,200,0,0.0
POWERGRID,2025-04-22T00:00:00,LONG,320.0,310.4,289.3500061035156,-9.578123092651367,2025-04-24T00:00:00,NO,200,0,0.0
RECLTD,2022-10-28T00:00:00,SHORT,96.5,99.395,235.10000610351562,-143.62694933006802,2022-10-31T00:00:00,NO,200,0,0.0
RELIANCE,2020-03-23T00:00:00,SHORT,393.6623840332031,405.47225555419925,862.5869140625,-119.11844998371646,2020-03-24T00:00:00,NO,200,0,0.0
RELIANCE,2020-03-30T00:00:00,SHORT,458.8534240722656,472.6190267944336,884.90576171875,-92.8515110261844,2020-03-31T00:00:00,NO,200,0,0.0
RELIANCE,2020-04-21T00:00:00,SHORT,550.98486328125,567.5144091796875,869.1990966796875,-57.75371604646155,2020-04-22T00:00:00,NO,200,0,0.0
RELIANCE,2021-04-23T00:00:00,SHORT,859.517822265625,885.3033569335938,1067.09716796875,-24.150673822674356,2021-04-26T00:00:00,NO,200,0,0.0
RELIANCE,2022-06-09T00:00:00,LONG,1267.6038818359375,1229.5757653808594,1021.4815673828125,-19.416342753435963,2022-06-10T00:00:00,NO,200,0,0.0
RELIANCE,2023-03-29T00:00:00,SHORT,1015.4380493164062,1045.9011907958984,1312.7442626953125,-29.278616610737902,2023-03-31T00:00:00,NO,200,0,0.0
